Set_Number,Set_Keyword,Pair_1,Pair_2,idk
21,yoga_mats,stimuli_exp1_jpg\\17b.jpg,stimuli_exp1_jpg\\17a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
21,yoga_mats,stimuli_exp1_jpg\\17a.jpg,stimuli_exp1_jpg\\17c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
21,yoga_mats,stimuli_exp1_jpg\\17d.jpg,stimuli_exp1_jpg\\17a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
21,yoga_mats,stimuli_exp1_jpg\\17c.jpg,stimuli_exp1_jpg\\17b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
21,yoga_mats,stimuli_exp1_jpg\\17d.jpg,stimuli_exp1_jpg\\17b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
21,yoga_mats,stimuli_exp1_jpg\\17d.jpg,stimuli_exp1_jpg\\17c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
28,duck,stimuli_exp1_jpg\\6a.jpg,stimuli_exp1_jpg\\6b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
28,duck,stimuli_exp1_jpg\\6c.jpg,stimuli_exp1_jpg\\6a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
28,duck,stimuli_exp1_jpg\\6d.jpg,stimuli_exp1_jpg\\6a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
28,duck,stimuli_exp1_jpg\\6c.jpg,stimuli_exp1_jpg\\6b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
28,duck,stimuli_exp1_jpg\\6d.jpg,stimuli_exp1_jpg\\6b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
28,duck,stimuli_exp1_jpg\\6d.jpg,stimuli_exp1_jpg\\6c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
