"Set","Keyword","image1","image2","image3","image4"
15,"cats_basking","stimuli_exp1_jpg\\15a.jpg","stimuli_exp1_jpg\\15b.jpg","stimuli_exp1_jpg\\15c.jpg","stimuli_exp1_jpg\\15d.jpg"
3,"kids_porch","stimuli_exp1_jpg\\3a.jpg","stimuli_exp1_jpg\\3b.jpg","stimuli_exp1_jpg\\3c.jpg","stimuli_exp1_jpg\\3d.jpg"
47,"fishing_rode","stimuli_exp1_jpg\\47a.jpg","stimuli_exp1_jpg\\47b.jpg","stimuli_exp1_jpg\\47c.jpg","stimuli_exp1_jpg\\47d.jpg"
22,"carpets","stimuli_exp1_jpg\\22a.jpg","stimuli_exp1_jpg\\22b.jpg","stimuli_exp1_jpg\\22c.jpg","stimuli_exp1_jpg\\22d.jpg"
36,"basket_ball","stimuli_exp1_jpg\\36a.jpg","stimuli_exp1_jpg\\36b.jpg","stimuli_exp1_jpg\\36c.jpg","stimuli_exp1_jpg\\36d.jpg"
18,"receipts","stimuli_exp1_jpg\\18a.jpg","stimuli_exp1_jpg\\18b.jpg","stimuli_exp1_jpg\\18c.jpg","stimuli_exp1_jpg\\18d.jpg"
31,"quilt","stimuli_exp1_jpg\\31a.jpg","stimuli_exp1_jpg\\31b.jpg","stimuli_exp1_jpg\\31c.jpg","stimuli_exp1_jpg\\31d.jpg"
1,"oranges","stimuli_exp1_jpg\\1a.jpg","stimuli_exp1_jpg\\1b.jpg","stimuli_exp1_jpg\\1c.jpg","stimuli_exp1_jpg\\1d.jpg"
9,"boat","stimuli_exp1_jpg\\9a.jpg","stimuli_exp1_jpg\\9b.jpg","stimuli_exp1_jpg\\9c.jpg","stimuli_exp1_jpg\\9d.jpg"
45,"scarf","stimuli_exp1_jpg\\45a.jpg","stimuli_exp1_jpg\\45b.jpg","stimuli_exp1_jpg\\45c.jpg","stimuli_exp1_jpg\\45d.jpg"
32,"newspaper","stimuli_exp1_jpg\\32a.jpg","stimuli_exp1_jpg\\32b.jpg","stimuli_exp1_jpg\\32c.jpg","stimuli_exp1_jpg\\32d.jpg"
11,"sunglasses","stimuli_exp1_jpg\\11a.jpg","stimuli_exp1_jpg\\11b.jpg","stimuli_exp1_jpg\\11c.jpg","stimuli_exp1_jpg\\11d.jpg"
20,"sheep","stimuli_exp1_jpg\\20a.jpg","stimuli_exp1_jpg\\20b.jpg","stimuli_exp1_jpg\\20c.jpg","stimuli_exp1_jpg\\20d.jpg"
13,"wires","stimuli_exp1_jpg\\13a.jpg","stimuli_exp1_jpg\\13b.jpg","stimuli_exp1_jpg\\13c.jpg","stimuli_exp1_jpg\\13d.jpg"
8,"bike","stimuli_exp1_jpg\\8a.jpg","stimuli_exp1_jpg\\8b.jpg","stimuli_exp1_jpg\\8c.jpg","stimuli_exp1_jpg\\8d.jpg"
